country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019,continent
Honduras,0.61,,,,,,,,,,Americas
Czech Republic,0.884,325.33,47.0,7.0,23.0,47.0,30.0,75.0,24.0,20.0,
Sweden,0.926,326.42,44.0,7.0,69.0,62.0,22.0,44.0,8.0,20.0,Europe
Tajikistan,0.69,,,,,,,,,,Asia
Papua New Guinea,0.487,,,,,,,,,,Oceania
Portugal,0.877,277.58,47.0,10.0,6.0,42.0,17.0,64.0,17.0,20.0,Europe
Azerbaijan,0.667,,,,,,,,,,Asia
Greece,0.766,337.8,71.0,5.0,6.0,42.0,22.0,74.0,23.0,20.0,Europe
Hungary,0.835,375.89,57.0,18.0,17.0,47.0,19.0,79.0,49.0,15.0,Europe
Togo,0.595,,,,,,,,,,Africa
Israel,0.703,,,,,,,,,,Asia
Austria,0.911,251.63,27.0,8.0,23.0,29.0,28.0,70.0,14.0,20.0,Europe
Belarus,0.733,,,,,,,,,,Europe
Switzerland,0.928,252.78,15.0,7.0,66.0,22.0,30.0,59.0,7.0,26.0,Europe
Sierra Leone,0.543,,,,,,,,,,Africa
Laos,0.704,,,,,,,,,,Asia
Turkmenistan,0.75,,,,,,,,,,Asia
Hong Kong,0.812,,,,,,,,,,Asia
Libya,0.61,,,,,,,,,,Africa
Kyrgyzstan,0.673,,,,,,,,,,Asia
Paraguay,0.691,,,,,,,,,,Americas
Nicaragua,0.717,,,,,,,,,,Americas
Bulgaria,0.826,380.84,61.0,7.0,34.0,47.0,30.0,59.0,41.0,34.0,Europe
Serbia,0.835,,,,,,,,,,Europe
El Salvador,0.566,,,,,,,,,,Americas
Republic of the Congo,0.507,,,,,,,,,,Africa
Denmark,0.932,320.65,28.0,9.0,63.0,71.0,31.0,54.0,8.0,20.0,Europe
Singapore,0.887,245.26,9.0,5.0,19.0,14.0,46.0,71.0,13.0,67.0,Asia
Lebanon,0.595,,,,,,,,,,Asia
Finland,0.924,,,,,,,,,,Europe
Liberia,0.5,,,,,,,,,,Africa
Norway,0.92,259.92,16.0,5.0,66.0,62.0,22.0,41.0,9.0,18.0,Europe
Slovakia,0.856,,,,,,,,,,Europe
Palestine,0.483,,,,,,,,,,Asia
Central African Republic,0.378,,,,,,,,,,Africa
Oman,0.715,,,,,,,,,,Asia
Ireland,0.892,247.31,35.0,4.0,29.0,33.0,19.0,49.0,21.0,20.0,Europe
New Zealand,0.904,,,,,,,,,,Oceania
Mauritania,0.506,,,,,,,,,,Africa
Costa Rica,0.743,,,,,,,,,,Americas
Kuwait,0.742,,,,,,,,,,Asia
Panama,0.757,,,,,,,,,,Americas
Croatia,0.862,286.53,43.0,10.0,17.0,29.0,22.0,69.0,24.0,20.0,Europe
Georgia,0.812,,,,,,,,,,Asia
